sku;image;base_image_label;small_image;small_image_label;thumbnail;thumbnail_label;media_gallery
IMDDW00765DG/YWXXL;ALSEK-DARK-GREY-YELOW-1.jpg;ALSEK-DARK GREY-YELOW-1;ALSEK-DARK-GREY-YELOW-1.jpg;ALSEK-DARK GREY-YELOW-1;ALSEK-DARK-GREY-YELOW-1.jpg;ALSEK-DARK GREY-YELOW-1;"ALSEK-DARK-GREY-YELOW-3.jpg;ALSEK-DARK-GREY-YELOW-4.jgp;ALSEK-DARK-GREY-YELOW-5.jpg;ALSEK-DARK-GREY-YELOW-6.jpg;ALSEK-DARK-GREY-YELOW-7.jpg;ALSEK-DARK-GREY-YELOW-8.jpg;ALSEK-DARK-GREY-YELOW-9.jpg;ALSEK-DARK-GREY-YELOW-10.jpg;ALSEK-DARK-GREY-YELOW-11.jpg;ALSEK-DARK-GREY-YELOW-12.jpg;ALSEK-DARK-GREY-YELOW-13.jpg"
IMDDW00765DG/YWXL;ALSEK-DARK-GREY-YELOW-1.jpg;ALSEK-DARK GREY-YELOW-1;ALSEK-DARK-GREY-YELOW-1.jpg;ALSEK-DARK GREY-YELOW-1;ALSEK-DARK-GREY-YELOW-1.jpg;ALSEK-DARK GREY-YELOW-1;"ALSEK-DARK-GREY-YELOW-3.jpg;ALSEK-DARK-GREY-YELOW-4.jgp;ALSEK-DARK-GREY-YELOW-5.jpg;ALSEK-DARK-GREY-YELOW-6.jpg;ALSEK-DARK-GREY-YELOW-7.jpg;ALSEK-DARK-GREY-YELOW-8.jpg;ALSEK-DARK-GREY-YELOW-9.jpg;ALSEK-DARK-GREY-YELOW-10.jpg;ALSEK-DARK-GREY-YELOW-11.jpg;ALSEK-DARK-GREY-YELOW-12.jpg;ALSEK-DARK-GREY-YELOW-13.jpg"
IMDDW00765DG/YWS;ALSEK-DARK-GREY-YELOW-1.jpg;ALSEK-DARK GREY-YELOW-1;ALSEK-DARK-GREY-YELOW-1.jpg;ALSEK-DARK GREY-YELOW-1;ALSEK-DARK-GREY-YELOW-1.jpg;ALSEK-DARK GREY-YELOW-1;"ALSEK-DARK-GREY-YELOW-3.jpg;ALSEK-DARK-GREY-YELOW-4.jgp;ALSEK-DARK-GREY-YELOW-5.jpg;ALSEK-DARK-GREY-YELOW-6.jpg;ALSEK-DARK-GREY-YELOW-7.jpg;ALSEK-DARK-GREY-YELOW-8.jpg;ALSEK-DARK-GREY-YELOW-9.jpg;ALSEK-DARK-GREY-YELOW-10.jpg;ALSEK-DARK-GREY-YELOW-11.jpg;ALSEK-DARK-GREY-YELOW-12.jpg;ALSEK-DARK-GREY-YELOW-13.jpg"
IMDDW00765DG/YWM;ALSEK-DARK-GREY-YELOW-1.jpg;ALSEK-DARK GREY-YELOW-1;ALSEK-DARK-GREY-YELOW-1.jpg;ALSEK-DARK GREY-YELOW-1;ALSEK-DARK-GREY-YELOW-1.jpg;ALSEK-DARK GREY-YELOW-1;"ALSEK-DARK-GREY-YELOW-3.jpg;ALSEK-DARK-GREY-YELOW-4.jgp;ALSEK-DARK-GREY-YELOW-5.jpg;ALSEK-DARK-GREY-YELOW-6.jpg;ALSEK-DARK-GREY-YELOW-7.jpg;ALSEK-DARK-GREY-YELOW-8.jpg;ALSEK-DARK-GREY-YELOW-9.jpg;ALSEK-DARK-GREY-YELOW-10.jpg;ALSEK-DARK-GREY-YELOW-11.jpg;ALSEK-DARK-GREY-YELOW-12.jpg;ALSEK-DARK-GREY-YELOW-13.jpg"
IMDDW00765DG/YWL;ALSEK-DARK-GREY-YELOW-1.jpg;ALSEK-DARK GREY-YELOW-1;ALSEK-DARK-GREY-YELOW-1.jpg;ALSEK-DARK GREY-YELOW-1;ALSEK-DARK-GREY-YELOW-1.jpg;ALSEK-DARK GREY-YELOW-1;"ALSEK-DARK-GREY-YELOW-3.jpg;ALSEK-DARK-GREY-YELOW-4.jgp;ALSEK-DARK-GREY-YELOW-5.jpg;ALSEK-DARK-GREY-YELOW-6.jpg;ALSEK-DARK-GREY-YELOW-7.jpg;ALSEK-DARK-GREY-YELOW-8.jpg;ALSEK-DARK-GREY-YELOW-9.jpg;ALSEK-DARK-GREY-YELOW-10.jpg;ALSEK-DARK-GREY-YELOW-11.jpg;ALSEK-DARK-GREY-YELOW-12.jpg;ALSEK-DARK-GREY-YELOW-13.jpg"
IMDDW00765DG/YW;ALSEK-DARK-GREY-YELOW-1.jpg;ALSEK-DARK GREY-YELOW-1;ALSEK-DARK-GREY-YELOW-1.jpg;ALSEK-DARK GREY-YELOW-1;ALSEK-DARK-GREY-YELOW-1.jpg;ALSEK-DARK GREY-YELOW-1;"ALSEK-DARK-GREY-YELOW-3.jpg;ALSEK-DARK-GREY-YELOW-4.jgp;ALSEK-DARK-GREY-YELOW-5.jpg;ALSEK-DARK-GREY-YELOW-6.jpg;ALSEK-DARK-GREY-YELOW-7.jpg;ALSEK-DARK-GREY-YELOW-8.jpg;ALSEK-DARK-GREY-YELOW-9.jpg;ALSEK-DARK-GREY-YELOW-10.jpg;ALSEK-DARK-GREY-YELOW-11.jpg;ALSEK-DARK-GREY-YELOW-12.jpg;ALSEK-DARK-GREY-YELOW-13.jpg"
